Finding ID,Type,Statement,Category,Confidence Tier,Run Count,Severity/Gain Level,Touchpoint,Participants,Participant Count,Priority Classification,Verification Status
PAIN-001,Pain,Medication changes communicated with jargon rather than plain language — no clinical context or doctor-awareness confirmation,Functional + Emotional,High,18/20,High,"Medication management — wijzigingshistorie screen, pharmacy counter","P01,P02,P03,P04,P06,P07,P08,P09,P10",9/10,Immediate,Verified — nuanced from universal incomprehension to universal insufficiency
PAIN-002,Pain,Claims submission is a black hole — no confirmation of receipt or intermediate status or expected timeline,Functional,High,17/20,High,Declaratiestatus — post-submission waiting period,"P01,P02,P03,P04,P07,P09,P10",7/10,Immediate,Verified
PAIN-003,Pain,Portal is view-only — no action capability for appeals or messaging or medication feedback or machtigingen,Functional,High,16/20,High,Portal-wide — all outcome screens,"P01,P03,P04,P10",4/10,Strong opportunity,Verified — corrected: not net-negative; participants would still use portal
PAIN-004,Pain,No family or caregiver profile switching — must log out and re-authenticate with each DigiD,Functional,High,14/20,High,Portal access — profile/account management,"P01,P03,P07",3/10,Strong opportunity,Verified
PAIN-005,Pain,No advance notification before medication switch — discovered at pharmacy counter,Functional + Emotional,High,14/20,High,Medication management — pre-pharmacy notification gap,"P02,P04,P06,P07,P08,P09",6/10,Immediate,Verified — nuanced: notification failure across all channels not total absence
PAIN-006,Pain,DigiD authentication is a functional blocker for elderly and digitally less confident users,Functional,High (analytical),13/20,High,Portal login — DigiD two-factor authentication,"P02,P06",2/10,Human review,Verified — participant-count qualifier added
PAIN-007,Pain,Dependency on family members for basic insurance tasks creates shame and identity loss,Functional + Social,High (analytical),13/20,High,All digital interactions — delegated to children,"P02,P06",2/10,Human review,Verified — participant-count qualifier added
PAIN-008,Pain,Patient forced to be sole coordinator between GP pharmacy and insurer during medication disputes,Functional,High,12/20,High,Medication management — cross-party machtiging coordination,"P01,P04,P09,P10",4/10,Strong opportunity,Verified
PAIN-009,Pain,Portal deepens digital exclusion for isolated elderly sub-segment,Social + Emotional,High (analytical),12/20,High,Portal concept — overall encounter,"P02,P06",2/10,Human review,Verified — scoped to sub-segment; P09 contradicts blanket claim
PAIN-010,Pain,No eigen risico or coverage limit visibility during the year,Functional,Medium,11/20,Medium,Dashboard — absent feature,"P01,P04,P06,P09,P10",5/10,Worth exploring,Verified
PAIN-011,Pain,GGZ and sensitive health data visible by default on dashboard with no granular privacy controls,Functional + Social,Medium,9/20,High (potential impact),Dashboard — GGZ declarations and medication visible,P08,1/10,Human review,Verified — flagged for dedicated GGZ-segment research
PAIN-012,Pain,Medication switches cause physiological effects beyond administrative inconvenience — varies by medication class,Functional + Emotional,Medium,9/20,High,Medication management — post-switch period,"P04,P08,P09",3/10,Human review,Verified — nuanced by medication class; Human Review Required for clinical accuracy
PAIN-013,Pain,Normalised administrative calling time of 1.5 to 3 hours per month,Functional,Medium,8/20,Medium,Helpdesk — calling for claim status and medication queries,"P01,P07,P10",3/10,Worth exploring,Verified — methodology supports normalised pain identification
PAIN-014,Pain,Helpdesk jargon and speed cause elderly participants to self-censor and stop asking questions,Social + Emotional,Medium,8/20,High,Helpdesk — phone calls with VGZ agents,"P02,P06",2/10,Human review,Verified
PAIN-015,Pain,Referral letters require manual patient handoff — faxing posting or photographing,Functional,Medium,7/20,Medium,Verwijsbrieven — document submission process,"P01,P03,P06,P07,P09",5/10,Worth exploring,Verified
PAIN-016,Pain,Fear of making irreversible mistakes in portal prevents elderly from exploring,Emotional,Medium,7/20,Medium,Portal interface — initial encounter,"P02,P06",2/10,Worth exploring,Verified
PAIN-017,Observation,Medication change for a child creates heightened parental anxiety,Emotional,Low,5/20,Medium,Medication management — child eczema cream change,P03,1/10,Monitor,Verified — single participant; flag for parent cohort follow-up
PAIN-018,Observation,Lock-screen push notifications could expose GGZ medication status,Social,Low,5/20,High (potential impact),Notifications — push notification content,P08,1/10,Monitor,Verified — design implication valid as best practice
PAIN-019,Observation,Portal centralises health data in human-readable UI creating new privacy exposure,Functional,Low,4/20,Medium,Portal dashboard — data aggregation,P08,1/10,Monitor,Verified — security consideration for development team
GAIN-001,Gain,Real-time claims status timeline eliminates need to call for status,Expected,High,18/20,Expected,Declaratiestatus — timeline feature in prototype,"P01,P02,P03,P04,P07,P09,P10",7/10,Immediate,Verified
GAIN-002,Gain,Plain-language explanation of medication changes with doctor-awareness confirmation,Desired,High,18/20,Desired,Medication management — wijzigingshistorie screen,"P02,P05,P06,P09 explicit; all implicit",9/10,Immediate,Verified — downgraded from Required to Desired after verification
GAIN-003,Gain,Two-way action capability — appeals messaging feedback machtiging requests from portal,Desired,High,17/20,Desired,Portal-wide — all outcome screens,"P01,P03,P04,P10",4/10,Strong opportunity,Verified
GAIN-004,Gain,Profile switching for family and caregivers without re-authentication,Required (segment),High,15/20,Required (segment),Portal access — profile management,"P01,P03,P07",3/10,Strong opportunity,Verified
GAIN-005,Gain,Feeling independent and self-sufficient — not a burden on adult children,Required (emotional),High (analytical),14/20,Required,All digital interactions,"P02,P06",2/10,Human review,Verified — participant-count qualifier added
GAIN-006,Gain,Proactive advance notification of medication change 2+ weeks before pharmacy dispensing,Desired,High,13/20,Desired,Medication management — pre-switch notification,"P07,P09 explicit; 6/10 implicit",6/10,Strong opportunity,Verified
GAIN-007,Gain,Feeling in control of health administration,Required (emotional),High,12/20,Required,Portal-wide — overall experience,"P01,P03,P04,P09,P10",5/10,Strong opportunity,Verified
GAIN-008,Gain,Real-time eigen risico meter visible on dashboard,Desired,Medium,11/20,Desired,Dashboard — deductible tracker,"P01,P04,P09,P10",4/10,Worth exploring,Verified
GAIN-009,Gain,Push notifications for status changes coming to user rather than requiring login,Desired,Medium,10/20,Desired,Notifications — push notification system,"P01,P03,P05,P07,P09",5/10,Worth exploring,Verified
GAIN-010,Gain,Granular privacy controls to hide GGZ and sensitive categories behind extra authentication,Required (segment),Medium,10/20,Required (GGZ features),Dashboard — privacy onboarding,"P08; P05 indirect",1/10,Human review,Verified — scoped to sensitive-feature adoption
GAIN-011,Gain,Medication overview replaces personal spreadsheets and manual tracking,Desired,Medium,8/20,Desired,Medication management — overview screen,"P01,P07",2/10,Worth exploring,Verified
GAIN-012,Gain,Co-browsing helpdesk where agent can see user screen — mensenknop,Desired,Medium,7/20,Desired,Helpdesk — portal-integrated support,"P01,P02,P06",3/10,Human review,Verified — strong independent convergence
GAIN-013,Observation,Familiar banking-app dashboard layout reduces learning curve,Expected,Low,5/20,Expected,Dashboard — visual design,"P01,P07,P09",3/10,Monitor,Verified — design validation
GAIN-014,Observation,Medication info linked to trusted sources not unfiltered Google,Desired,Low,5/20,Desired,Medication management — information links,"P01,P09",2/10,Monitor,Verified
GAIN-015,Observation,Privacy-aware notifications — no content on lock screen,Desired,Low,4/20,Desired,Notifications — privacy setting,P08,1/10,Monitor,Verified — valid as best practice
GAIN-016,Observation,Access audit log showing who viewed data when and why,Unexpected,Low,3/20,Unexpected,Portal — privacy/trust feature,P08,1/10,Monitor,Verified — regulatory relevance
GAIN-017,Observation,Tax year overview exportable for belastingaangifte,Unexpected,Low,3/20,Unexpected,Dashboard — export feature,P09,1/10,Monitor,Verified — unexpected use case
GAIN-018,Observation,Practice/sandbox mode for exploring without consequences,Unexpected,Low,2/20,Unexpected,Portal — onboarding,P02,1/10,Monitor,Verified — underlying need addressable via standard UX
